record_date,devs_1dau,devs_7dau,devs_28dau
2020-07-25,863,5240,13541
2020-07-26,935,5258,13533
2020-07-27,1911,5314,13437
2020-07-28,1948,5296,13314
2020-07-29,1906,5291,13214
2020-07-30,1819,5213,13105
2020-07-31,1605,5101,12957
2020-08-01,788,5098,12921
2020-08-02,826,5081,12867
2020-08-03,1743,5070,12796
2020-08-04,1782,4990,12759
2020-08-05,1762,4911,12673
2020-08-06,1747,4881,12562
2020-08-07,1567,4786,12458
2020-08-08,830,4822,12457
2020-08-09,883,4890,12466
2020-08-10,1772,4902,12469
2020-08-11,1767,4896,12389
2020-08-12,1828,4934,12328
2020-08-13,1788,4945,12268
2020-08-14,1635,4909,12219
2020-08-15,786,4920,12187
2020-08-16,869,4907,12186
2020-08-17,1744,4937,12186
2020-08-18,1864,5010,12181
2020-08-19,1848,5035,12211
2020-08-20,1819,5061,12171
2020-08-21,1685,5047,12169
2020-08-22,787,5058,12184
2020-08-23,821,5024,12151
2020-08-24,1878,5101,12137
2020-08-25,1852,5104,12073
2020-08-26,1771,5065,12008
2020-08-27,1814,4987,11999
2020-08-28,1693,4954,11967
2020-08-29,810,4968,11950
2020-08-30,802,4976,11936
2020-08-31,1764,4964,11931
2020-09-01,1784,4933,11888
2020-09-02,1903,4997,11920
2020-09-03,1900,5033,11987
2020-09-04,1721,5010,12014
2020-09-05,761,5017,12007
2020-09-06,755,5012,11951
2020-09-07,1616,5019,11940
2020-09-08,1978,5225,12078
2020-09-09,1969,5228,12084
2020-09-10,1959,5179,12119
2020-09-11,1803,5189,12130
2020-09-12,795,5197,12117
2020-09-13,868,5266,12130
2020-09-14,1946,5348,12198
2020-09-15,2003,5343,12224
2020-09-16,2011,5333,12245
2020-09-17,2007,5368,12248
2020-09-18,1810,5324,12241
2020-09-19,901,5363,12285
2020-09-20,876,5391,12343
2020-09-21,1929,5462,12379
2020-09-22,1993,5478,12431
2020-09-23,2012,5492,12480
2020-09-24,2022,5506,12516
